City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description,Rain,Snow
53,Vaini,TO,2020-02-24 09:39:28,-21.2,-175.2,77.0,100,20,3.36,few clouds,0.0,0.0
54,Sibu,MY,2020-02-24 09:39:29,2.3,111.82,84.2,79,75,10.29,broken clouds,0.0,0.0
55,Tuktoyaktuk,CA,2020-02-24 09:39:29,69.45,-133.04,-7.31,96,100,8.77,overcast clouds,0.0,0.0
56,Hami,CN,2020-02-24 09:39:29,42.8,93.45,44.35,30,21,3.56,few clouds,0.0,0.0
57,Cape Town,ZA,2020-02-24 09:37:48,-33.93,18.42,84.99,44,0,11.41,clear sky,0.0,0.0
58,Komsomolskiy,UZ,2020-02-24 09:39:29,40.43,71.72,51.8,87,75,4.7,broken clouds,0.0,0.0
59,Kapaa,US,2020-02-24 09:39:30,22.08,-159.32,68.0,82,1,5.32,clear sky,0.0,0.0
60,Genhe,CN,2020-02-24 09:39:30,50.78,121.52,12.31,82,7,3.67,clear sky,0.0,0.0
61,Hunchun,CN,2020-02-24 09:39:30,42.87,130.36,28.51,64,0,6.53,clear sky,0.0,0.0
62,Kodiak,US,2020-02-24 09:39:30,57.79,-152.41,23.0,49,1,16.11,clear sky,0.0,0.0
63,Shibata,JP,2020-02-24 09:39:30,37.95,139.33,52.0,76,75,16.11,broken clouds,0.0,0.0
64,Tiksi,RU,2020-02-24 09:39:31,71.69,128.87,-4.22,87,99,7.92,overcast clouds,0.0,0.0
65,Makarov,RU,2020-02-24 09:39:31,48.63,142.8,8.8,82,42,2.21,scattered clouds,0.0,0.0
66,Yellowknife,CA,2020-02-24 09:39:31,62.46,-114.35,-16.01,75,5,6.93,clear sky,0.0,0.0
67,Shenjiamen,CN,2020-02-24 09:39:31,29.96,122.3,56.57,89,67,19.19,broken clouds,0.0,0.0
68,Chokurdakh,RU,2020-02-24 09:39:31,70.63,147.92,-23.37,98,79,4.47,broken clouds,0.0,0.0
69,Wodonga,AU,2020-02-24 09:39:32,-36.12,146.88,86.0,28,0,8.05,clear sky,0.0,0.0
70,Esso,RU,2020-02-24 09:39:32,55.93,158.7,0.77,95,100,3.74,overcast clouds,0.0,0.0
71,Cordoba,AR,2020-02-24 09:36:02,-31.41,-64.18,63.0,87,0,8.05,clear sky,0.0,0.0
72,Lata,PT,2020-02-24 09:39:32,40.16,-8.33,52.0,94,0,1.99,clear sky,0.0,0.0
73,Khandyga,RU,2020-02-24 09:39:33,62.67,135.6,-6.03,99,100,1.48,overcast clouds,0.0,0.0
74,Severo-Kurilsk,RU,2020-02-24 09:39:33,50.68,156.12,26.17,96,100,32.08,snow,0.0,2.88
75,Bonthe,SL,2020-02-24 09:39:33,7.53,-12.51,82.29,68,61,6.35,broken clouds,0.0,0.0
76,Oranjestad,AW,2020-02-24 09:39:33,12.52,-70.03,77.0,73,20,6.93,few clouds,0.0,0.0
77,Provideniya,RU,2020-02-24 09:39:33,64.38,-173.3,-1.93,66,20,3.2,few clouds,0.0,0.0
78,Upernavik,GL,2020-02-24 09:39:34,72.79,-56.15,-21.44,92,22,1.28,few clouds,0.0,0.0
79,Cherskiy,RU,2020-02-24 09:39:34,68.75,161.3,-26.64,89,15,3.69,few clouds,0.0,0.0
80,Rorvik,NO,2020-02-24 09:39:34,64.86,11.24,30.2,80,40,4.7,shower rain,0.0,0.0
81,Zaraza,VE,2020-02-24 09:39:34,9.35,-65.32,73.33,92,66,7.99,broken clouds,0.0,0.0
82,Gornyy,RU,2020-02-24 09:39:34,55.12,83.91,22.75,91,94,6.58,overcast clouds,0.0,0.0
83,Segou,ML,2020-02-24 09:39:35,13.43,-6.22,86.52,9,20,19.91,few clouds,0.0,0.0
84,Ponta Do Sol,PT,2020-02-24 09:39:35,32.67,-17.1,77.0,72,75,21.92,broken clouds,0.0,0.0
85,Puerto Ayora,EC,2020-02-24 09:39:35,-0.74,-90.35,77.0,100,74,5.01,broken clouds,0.0,0.0
86,Marabba,SD,2020-02-24 09:39:35,12.35,32.18,84.99,10,0,17.83,clear sky,0.0,0.0
87,Port Hardy,CA,2020-02-24 09:39:36,50.7,-127.42,35.6,92,90,6.93,overcast clouds,0.0,0.0
88,Port Alfred,ZA,2020-02-24 09:39:36,-33.59,26.89,70.0,80,0,1.01,clear sky,0.0,0.0
89,Kruisfontein,ZA,2020-02-24 09:39:36,-34.0,24.73,73.62,35,0,4.9,clear sky,0.0,0.0
90,Bredasdorp,ZA,2020-02-24 09:39:36,-34.53,20.04,77.0,43,0,17.22,clear sky,0.0,0.0
91,Faanui,PF,2020-02-24 09:39:37,-16.48,-151.75,82.47,76,12,13.13,few clouds,0.0,0.0
92,Butaritari,KI,2020-02-24 09:39:37,3.07,172.79,83.95,81,100,27.69,heavy intensity rain,12.19,0.0
93,Talnakh,RU,2020-02-24 09:39:37,69.49,88.4,17.6,92,75,33.55,broken clouds,0.0,0.0
94,Dikson,RU,2020-02-24 09:39:37,73.51,80.55,25.38,90,100,28.39,light snow,0.0,0.13
95,Atherton,GB,2020-02-24 09:39:38,53.52,-2.49,53.01,93,75,11.41,moderate rain,0.0,0.0
96,East London,ZA,2020-02-24 09:37:37,-33.02,27.91,73.4,53,20,8.05,few clouds,0.0,0.0
97,Airai,TL,2020-02-24 09:39:38,-8.93,125.41,75.94,78,47,2.01,light rain,1.38,0.0
98,Sept-Iles,CA,2020-02-24 09:39:38,50.2,-66.38,28.99,92,90,18.34,overcast clouds,0.0,0.0
99,Beloha,MG,2020-02-24 09:39:38,-25.17,45.05,78.37,78,100,4.65,light rain,1.88,0.0
100,Larsnes,NO,2020-02-24 09:39:39,62.2,5.58,37.99,74,75,25.28,broken clouds,0.0,0.0
101,Lorengau,PG,2020-02-24 09:39:39,-2.02,147.27,84.85,71,9,7.49,clear sky,0.0,0.0
102,Talavera De La Reina,ES,2020-02-24 09:39:39,39.96,-4.83,54.66,53,2,1.05,clear sky,0.0,0.0
103,Padang,ID,2020-02-24 09:36:11,-0.95,100.35,84.24,59,55,2.42,broken clouds,0.0,0.0
104,Vardo,NO,2020-02-24 09:39:40,70.37,31.11,33.8,86,40,14.99,scattered clouds,0.0,0.0
105,Jiutai,CN,2020-02-24 09:39:40,44.15,125.83,32.0,72,98,4.47,overcast clouds,0.0,0.0
106,Surt,LY,2020-02-24 09:36:45,31.21,16.59,57.56,63,68,14.09,broken clouds,0.0,0.0
107,Port Blair,IN,2020-02-24 09:39:40,11.67,92.75,81.88,73,5,13.58,clear sky,0.0,0.0
108,Lere,NG,2020-02-24 09:39:41,10.39,8.57,77.81,14,0,14.32,clear sky,0.0,0.0
109,Santa Rosalia,MX,2020-02-24 09:39:41,27.32,-112.28,57.34,42,100,6.29,overcast clouds,0.0,0.0
110,Awbari,LY,2020-02-24 09:39:41,26.59,12.78,55.49,43,0,4.63,clear sky,0.0,0.0
111,Mataura,NZ,2020-02-24 09:39:41,-46.19,168.86,62.01,71,100,4.0,overcast clouds,0.0,0.0
112,San Rafael,AR,2020-02-24 09:39:41,-34.62,-68.33,66.92,38,0,5.28,clear sky,0.0,0.0
113,Ust-Tsilma,RU,2020-02-24 09:39:42,65.44,52.15,31.44,84,100,12.01,light snow,0.0,0.25
114,Saint Anthony,US,2020-02-24 09:39:42,45.02,-93.22,27.0,100,1,5.82,clear sky,0.0,0.0
115,Thap Than,TH,2020-02-24 09:39:42,15.46,99.89,96.12,19,0,7.38,clear sky,0.0,0.0
116,Severnyy,RU,2020-02-24 09:39:42,50.68,36.55,33.8,99,90,8.95,heavy snow,0.0,0.0
117,Manavalakurichi,IN,2020-02-24 09:39:42,8.13,77.3,89.6,59,20,9.17,few clouds,0.0,0.0
118,Ugoofaaru,MV,2020-02-24 09:39:43,5.67,73.0,83.16,77,46,23.17,scattered clouds,0.0,0.0
119,Qaqortoq,GL,2020-02-24 09:39:43,60.72,-46.03,23.0,79,100,6.93,light snow,0.0,0.0
120,Adrar,MR,2020-02-24 09:39:43,20.5,-10.07,77.86,11,100,22.79,overcast clouds,0.0,0.0
121,Paamiut,GL,2020-02-24 09:39:44,61.99,-49.67,11.44,76,100,8.72,light snow,0.0,0.31
122,Lebu,CL,2020-02-24 09:39:44,-37.62,-73.65,51.12,92,14,5.7,few clouds,0.0,0.0
123,Jamestown,US,2020-02-24 09:39:44,42.1,-79.24,41.0,51,1,9.17,clear sky,0.0,0.0
124,Zhigansk,RU,2020-02-24 09:39:44,66.77,123.37,-2.81,95,100,15.03,overcast clouds,0.0,0.0
125,Kavaratti,IN,2020-02-24 09:39:44,10.57,72.64,82.56,69,100,4.65,overcast clouds,0.0,0.0
126,Havelock,US,2020-02-24 09:39:44,34.88,-76.9,46.99,75,40,2.77,scattered clouds,0.0,0.0
127,Lawton,US,2020-02-24 09:36:14,34.61,-98.39,50.0,81,1,23.04,clear sky,0.0,0.0
128,Waingapu,ID,2020-02-24 09:39:45,-9.66,120.26,85.5,73,0,11.36,clear sky,0.0,0.0
129,Richards Bay,ZA,2020-02-24 09:39:45,-28.78,32.04,71.87,70,100,12.03,light rain,0.56,0.0
130,Kirakira,SB,2020-02-24 09:39:45,-10.45,161.92,78.6,87,43,6.82,light rain,0.56,0.0
131,Georgetown,MY,2020-02-24 09:39:45,5.41,100.34,91.4,59,20,6.93,few clouds,0.0,0.0
132,Balabac,PH,2020-02-24 09:39:46,7.99,117.06,81.72,75,56,17.56,broken clouds,0.0,0.0
133,Lompoc,US,2020-02-24 09:39:46,34.64,-120.46,51.8,93,1,13.18,clear sky,0.0,0.0
134,Banjar,ID,2020-02-24 09:39:46,-8.19,114.97,89.6,70,20,8.05,few clouds,0.0,0.0
135,Namibe,AO,2020-02-24 09:39:46,-15.2,12.15,77.0,69,40,7.31,scattered clouds,0.0,0.0
136,Hermanus,ZA,2020-02-24 09:39:46,-34.42,19.23,84.99,53,0,11.99,clear sky,0.0,0.0
