,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description,Rain,Snow
51,51,Qaanaaq,GL,2020-02-24 08:01:51,77.48,-69.36,-14.13,49,0,5.39,clear sky,0.0,0.0
52,52,Ribeira Grande,PT,2020-02-24 08:01:51,38.52,-28.7,57.2,82,40,8.05,scattered clouds,0.0,0.0
53,53,Butaritari,KI,2020-02-24 08:01:51,3.07,172.79,83.95,81,100,27.69,heavy intensity rain,12.19,0.0
54,54,Sakhnovshchyna,UA,2020-02-24 08:01:52,49.15,35.87,39.63,94,100,18.95,light rain,1.69,0.0
55,55,Kuzhener,RU,2020-02-24 08:01:52,56.81,48.91,32.23,91,83,13.24,broken clouds,0.0,0.0
56,56,Castro,BR,2020-02-24 08:01:10,-24.79,-50.01,56.34,95,98,5.79,overcast clouds,0.0,0.0
57,57,Clyde River,CA,2020-02-24 08:01:52,70.47,-68.59,-14.8,75,90,18.34,light snow,0.0,0.0
58,58,Cape Town,ZA,2020-02-24 07:58:27,-33.93,18.42,75.99,49,0,11.41,clear sky,0.0,0.0
59,59,Hermanus,ZA,2020-02-24 08:01:53,-34.42,19.23,75.0,62,0,11.99,clear sky,0.0,0.0
60,60,Rikitea,PF,2020-02-24 08:01:53,-23.12,-134.97,79.21,72,0,7.92,light rain,0.44,0.0
61,61,Jamestown,US,2020-02-24 08:01:53,42.1,-79.24,44.6,44,1,12.75,clear sky,0.0,0.0
62,62,Kearney,US,2020-02-24 08:01:53,40.7,-99.08,35.6,80,90,8.05,overcast clouds,0.0,0.0
63,63,Dovolnoye,RU,2020-02-24 08:01:54,54.5,79.67,22.12,90,96,1.95,overcast clouds,0.0,0.0
64,64,Byron Bay,AU,2020-02-24 07:59:29,-28.65,153.62,73.99,88,90,10.29,overcast clouds,0.0,0.0
65,65,Ranong,TH,2020-02-24 08:01:54,9.97,98.63,91.4,52,20,21.92,few clouds,0.0,0.0
66,66,Asau,RO,2020-02-24 08:01:54,46.43,26.4,54.0,58,40,18.34,scattered clouds,0.0,0.0
67,67,Svetlyy,RU,2020-02-24 08:01:54,54.67,20.13,41.0,80,75,20.13,broken clouds,0.0,0.0
68,68,Albany,US,2020-02-24 08:01:55,42.6,-73.97,32.0,85,40,4.7,scattered clouds,0.0,0.0
69,69,Alappuzha,IN,2020-02-24 08:01:55,9.49,76.33,93.43,42,9,11.61,clear sky,0.0,0.0
70,70,Bengkulu,ID,2020-02-24 08:01:55,-3.8,102.27,85.5,74,55,5.84,light rain,0.5,0.0
71,71,Sao Joao Da Barra,BR,2020-02-24 08:00:58,-21.64,-41.05,71.11,81,82,5.84,broken clouds,0.0,0.0
72,72,Catamarca,AR,2020-02-24 08:01:56,-28.47,-65.79,54.0,94,0,1.21,clear sky,0.0,0.0
73,73,Longhua,CN,2020-02-24 08:01:56,23.61,114.19,73.26,64,82,4.18,broken clouds,0.0,0.0
74,74,Rodrigues Alves,BR,2020-02-24 08:01:56,-7.74,-72.65,69.73,95,100,1.32,overcast clouds,0.0,0.0
75,75,Manthani,IN,2020-02-24 08:01:56,18.65,79.67,94.08,26,0,10.02,clear sky,0.0,0.0
76,76,Saint George,US,2020-02-24 07:59:49,37.1,-113.58,46.4,65,0,4.32,clear sky,0.0,0.0
77,77,Buala,SB,2020-02-24 08:01:57,-8.14,159.59,82.02,79,18,2.75,light rain,0.44,0.0
78,78,Cedar City,US,2020-02-24 08:00:25,37.68,-113.06,33.8,74,1,9.17,clear sky,0.0,0.0
79,79,Weligama,LK,2020-02-24 08:01:57,5.97,80.42,92.05,50,100,11.34,overcast clouds,0.0,0.0
80,80,Hobart,AU,2020-02-24 07:59:00,-42.88,147.33,68.0,64,75,13.87,broken clouds,0.0,0.0
81,81,Nuevo Progreso,MX,2020-02-24 08:01:58,23.17,-97.95,69.01,90,56,4.0,broken clouds,0.0,0.0
82,82,Khandyga,RU,2020-02-24 08:01:58,62.67,135.6,-6.03,99,100,1.48,overcast clouds,0.0,0.0
83,83,Westport,US,2020-02-24 08:00:06,41.14,-73.36,44.6,80,90,7.65,overcast clouds,0.0,0.0
84,84,Tuktoyaktuk,CA,2020-02-24 08:01:58,69.45,-133.04,-7.31,96,100,8.77,overcast clouds,0.0,0.0
85,85,Hasaki,JP,2020-02-24 08:01:54,35.73,140.83,59.0,50,0,11.41,clear sky,0.0,0.0
86,86,Smithers,CA,2020-02-24 07:57:56,54.78,-127.17,28.4,79,93,3.36,overcast clouds,0.0,0.0
87,87,Tiksi,RU,2020-02-24 08:01:59,71.69,128.87,-4.22,87,99,7.92,overcast clouds,0.0,0.0
88,88,Tonstad,NO,2020-02-24 08:01:59,58.66,6.72,39.99,80,40,9.17,shower rain,0.0,0.0
89,89,Humboldt,US,2020-02-24 08:01:59,40.67,-123.92,44.6,93,1,3.29,clear sky,0.0,0.0
90,90,Cayenne,GF,2020-02-24 08:00:04,4.93,-52.33,78.8,83,90,8.05,overcast clouds,0.0,0.0
91,91,Hithadhoo,MV,2020-02-24 08:00:31,-0.6,73.08,83.21,78,11,11.92,light rain,0.88,0.0
92,92,Sisimiut,GL,2020-02-24 08:02:00,66.94,-53.67,-4.97,87,100,3.71,overcast clouds,0.0,0.0
93,93,New Norfolk,AU,2020-02-24 08:02:00,-42.78,147.06,68.0,64,75,13.87,broken clouds,0.0,0.0
94,94,Porto Novo,BJ,2020-02-24 08:02:00,6.5,2.6,84.2,89,40,2.24,scattered clouds,0.0,0.0
95,95,Chokurdakh,RU,2020-02-24 08:02:00,70.63,147.92,-23.37,98,79,4.47,broken clouds,0.0,0.0
96,96,Hambantota,LK,2020-02-24 08:02:01,6.12,81.12,89.6,66,75,17.22,broken clouds,0.0,0.0
97,97,Grand-Santi,GF,2020-02-24 08:02:01,4.25,-54.38,70.34,99,97,2.21,overcast clouds,0.0,0.0
98,98,Lebu,CL,2020-02-24 08:02:01,-37.62,-73.65,51.12,92,14,5.7,few clouds,0.0,0.0
99,99,Rio Grande,BR,2020-02-24 08:02:01,-32.03,-52.1,57.0,95,65,14.85,light rain,0.13,0.0
100,100,Caravelas,BR,2020-02-24 08:02:02,-17.71,-39.25,79.25,84,82,10.76,light rain,2.13,0.0
101,101,Norman Wells,CA,2020-02-24 08:02:02,65.28,-126.83,-0.4,84,75,5.82,light snow,0.0,0.0
102,102,Laguna,US,2020-02-24 08:00:55,38.42,-121.42,52.0,93,1,3.36,clear sky,0.0,0.0
103,103,Fortuna,US,2020-02-24 08:02:03,40.6,-124.16,44.6,93,1,3.29,clear sky,0.0,0.0
104,104,Brae,GB,2020-02-24 08:02:03,60.4,-1.35,35.6,74,20,2.24,few clouds,0.0,0.0
105,105,Avarua,CK,2020-02-24 08:02:03,-21.21,-159.78,77.0,100,100,1.12,overcast clouds,0.0,0.0
106,106,Victoria,HK,2020-02-24 08:01:32,22.29,114.16,78.01,60,20,16.11,few clouds,0.0,0.0
