City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Kelme,LT,2020-02-22 21:27:36,55.63,22.93,41.0,86,75,17.22
71,Puksoozero,RU,2020-02-22 21:27:37,62.59,40.61,31.46,91,100,19.48
72,Jian,CN,2020-02-22 21:23:36,27.12,114.98,53.38,90,58,0.47
73,Shuangcheng,CN,2020-02-22 21:27:37,45.35,126.28,5.0,92,0,6.71
74,Gao,ML,2020-02-22 21:27:37,16.64,1.64,81.81,9,85,14.76
75,Provideniya,RU,2020-02-22 21:23:54,64.38,-173.3,-14.6,87,18,2.73
76,Asau,RO,2020-02-22 21:26:43,46.43,26.4,34.0,80,0,5.82
77,Dikson,RU,2020-02-22 21:27:06,73.51,80.55,16.52,93,100,25.37
78,Tiksi,RU,2020-02-22 21:27:38,71.69,128.87,-11.67,90,90,7.4
79,Riyadh,SA,2020-02-22 21:23:34,24.69,46.72,68.0,34,0,10.29
80,Abonnema,NG,2020-02-22 21:24:43,4.71,6.79,87.8,70,20,6.93
81,Adrar,MR,2020-02-22 21:26:32,20.5,-10.07,83.16,10,95,11.59
82,Kruisfontein,ZA,2020-02-22 21:27:40,-34.0,24.73,63.36,84,100,16.15
83,Marzuq,YE,2020-02-22 21:27:40,14.4,46.47,64.36,49,0,3.76
84,Yatou,CN,2020-02-22 21:27:40,37.15,122.38,34.77,50,0,5.75
85,Springbok,ZA,2020-02-22 21:27:40,-29.66,17.89,61.56,62,0,11.54
86,Lompoc,US,2020-02-22 21:27:40,34.64,-120.46,64.0,59,20,14.99
87,Havelock,US,2020-02-22 21:24:31,34.88,-76.9,54.0,25,1,3.36
88,Lakes Entrance,AU,2020-02-22 21:27:41,-37.88,147.98,61.0,92,0,5.5
89,Sao Filipe,CV,2020-02-22 21:27:41,14.9,-24.5,67.42,82,84,20.85
90,Port Elizabeth,ZA,2020-02-22 21:26:33,-33.92,25.57,67.01,76,100,17.49
91,Andenes,NO,2020-02-22 21:27:42,69.31,16.12,35.01,100,100,16.11
92,Uong Bi,VN,2020-02-22 21:27:42,21.03,106.78,64.4,93,0,2.24
93,Barra Do Bugres,BR,2020-02-22 21:27:42,-15.07,-57.18,68.36,96,100,4.99
94,Mabopane,ZA,2020-02-22 21:27:42,-25.5,28.1,69.01,93,100,6.93
95,Yarovoye,RU,2020-02-22 21:27:43,52.93,78.58,16.65,96,76,6.85
96,Shyryayeve,UA,2020-02-22 21:27:43,47.38,30.2,36.07,65,0,6.76
97,Paamiut,GL,2020-02-22 21:27:43,61.99,-49.67,16.95,89,100,14.63
98,Lubao,PH,2020-02-22 21:27:43,14.92,120.55,77.0,78,20,3.36
99,Grand Forks,US,2020-02-22 21:27:12,47.93,-97.03,35.6,80,1,5.48
100,Erenhot,CN,2020-02-22 21:25:21,43.65,111.98,20.79,70,91,15.39
101,Mar Del Plata,AR,2020-02-22 21:27:44,-38.0,-57.56,62.6,67,0,13.87
102,Saint-Philippe,RE,2020-02-22 21:27:44,-21.36,55.77,75.2,69,100,6.93
103,Walvis Bay,NA,2020-02-22 21:27:45,-22.96,14.51,66.2,72,10,2.24
104,Lufilufi,WS,2020-02-22 21:27:45,-13.87,-171.6,80.6,94,75,23.49
105,Sunrise Manor,US,2020-02-22 21:27:45,36.21,-115.07,60.8,76,75,5.82
106,Milos,GR,2020-02-22 21:27:45,36.75,24.43,51.8,62,66,24.16
107,Saskylakh,RU,2020-02-22 21:26:28,71.92,114.08,-13.74,93,39,5.1
108,New Norfolk,AU,2020-02-22 21:27:46,-42.78,147.06,53.6,76,20,6.93
109,Saint-Pierre,RE,2020-02-22 21:27:46,-21.34,55.48,75.2,69,100,6.93
110,Shetpe,KZ,2020-02-22 21:27:46,44.17,52.12,39.65,67,100,8.16
111,Lashio,MM,2020-02-22 21:27:46,22.93,97.75,64.09,53,100,1.52
112,Longyearbyen,SJ,2020-02-22 21:26:20,78.22,15.64,-0.4,70,20,12.75
113,Thompson,CA,2020-02-22 21:27:47,55.74,-97.86,26.6,49,20,2.24
114,Gafanha Da Encarnacao,PT,2020-02-22 21:27:47,40.62,-8.73,59.0,87,0,2.24
115,San Pedro,PH,2020-02-22 21:27:47,14.35,121.02,77.0,69,40,1.12
116,Qaanaaq,GL,2020-02-22 21:27:47,77.48,-69.36,-14.08,64,99,4.52
117,Hovd,MN,2020-02-22 21:27:48,48.01,91.64,17.78,64,100,2.91
118,Jeremoabo,BR,2020-02-22 21:27:48,-10.07,-38.48,83.86,56,100,4.23
119,Mountain Home,US,2020-02-22 21:27:48,43.13,-115.69,46.99,31,1,9.33
120,Shima,CN,2020-02-22 21:27:48,24.45,117.81,60.8,51,75,13.42
