City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description,Rain,Snow
53,Cidreira,BR,2020-02-24 08:39:48,-30.18,-50.21,71.98,74,0,21.05,clear sky,0.0,0.0
54,Xacmaz,AZ,2020-02-24 08:39:48,41.46,48.81,44.67,83,100,10.58,overcast clouds,0.0,0.0
55,San Quintin,MX,2020-02-24 08:39:48,30.48,-115.95,55.78,90,0,10.83,clear sky,0.0,0.0
56,Ketchikan,US,2020-02-24 08:39:49,55.34,-131.65,35.6,86,20,1.45,few clouds,0.0,0.0
57,Manzanillo,CU,2020-02-24 08:39:49,20.34,-77.12,69.19,85,4,11.3,clear sky,0.0,0.0
58,Chokurdakh,RU,2020-02-24 08:39:49,70.63,147.92,-23.37,98,79,4.47,broken clouds,0.0,0.0
59,Bacolod,PH,2020-02-24 08:35:18,10.67,122.95,83.57,58,0,7.94,clear sky,0.0,0.0
60,Hithadhoo,MV,2020-02-24 08:39:49,-0.6,73.08,83.21,78,11,11.92,light rain,0.88,0.0
61,Gambela,ET,2020-02-24 08:39:50,8.25,34.58,88.09,34,100,2.08,overcast clouds,0.0,0.0
62,Plaster Rock,CA,2020-02-24 08:39:50,46.91,-67.39,24.8,68,1,4.7,clear sky,0.0,0.0
63,Mataura,NZ,2020-02-24 08:39:50,-46.19,168.86,64.0,62,100,4.0,overcast clouds,0.0,0.0
64,Gizo,SB,2020-02-24 08:39:50,-8.1,156.84,78.91,87,76,4.76,light rain,1.44,0.0
65,Punta Arenas,CL,2020-02-24 08:39:50,-53.15,-70.92,44.6,75,40,25.28,scattered clouds,0.0,0.0
66,Khatanga,RU,2020-02-24 08:39:51,71.97,102.5,19.72,85,100,19.24,light snow,0.0,0.13
67,Katsuura,JP,2020-02-24 08:39:51,35.13,140.3,57.2,50,20,11.41,few clouds,0.0,0.0
68,Sitka,US,2020-02-24 08:39:51,57.05,-135.33,28.4,86,75,8.05,broken clouds,0.0,0.0
69,Mar Del Plata,AR,2020-02-24 08:35:11,-38.0,-57.56,64.0,93,40,9.17,scattered clouds,0.0,0.0
70,Aklavik,CA,2020-02-24 08:39:52,68.22,-135.01,-7.6,83,90,2.24,light snow,0.0,0.0
71,Ponta Do Sol,PT,2020-02-24 08:39:52,32.67,-17.1,62.6,77,75,21.92,broken clouds,0.0,0.0
72,Port Alfred,ZA,2020-02-24 08:39:52,-33.59,26.89,69.01,80,0,1.01,clear sky,0.0,0.0
73,Rio Gallegos,AR,2020-02-24 08:39:53,-51.62,-69.22,44.6,65,3,16.11,clear sky,0.0,0.0
74,Cayenne,GF,2020-02-24 08:37:55,4.93,-52.33,78.8,88,75,9.17,broken clouds,0.0,0.0
75,Bredasdorp,ZA,2020-02-24 08:39:53,-34.53,20.04,73.99,56,75,13.87,broken clouds,0.0,0.0
76,Beringovskiy,RU,2020-02-24 08:39:54,63.05,179.32,-6.27,97,100,10.2,overcast clouds,0.0,0.0
77,Arraial Do Cabo,BR,2020-02-24 08:39:54,-22.97,-42.03,73.94,74,67,7.81,broken clouds,0.0,0.0
78,Yellowknife,CA,2020-02-24 08:39:54,62.46,-114.35,-14.01,75,5,8.05,clear sky,0.0,0.0
79,Saint-Philippe,RE,2020-02-24 08:39:54,-21.36,55.77,86.0,66,14,9.17,few clouds,0.0,0.0
80,Tuktoyaktuk,CA,2020-02-24 08:39:55,69.45,-133.04,-7.31,96,100,8.77,overcast clouds,0.0,0.0
81,Nanfeng,CN,2020-02-24 08:39:55,23.74,111.8,73.67,59,54,6.26,light rain,0.19,0.0
82,Verkhoyansk,RU,2020-02-24 08:39:55,67.54,133.38,-12.23,90,100,2.37,overcast clouds,0.0,0.0
